"1."	"AREA MILL HEAD"		true	"2026-01-30 07:20:39.297"	"2026-01-30 07:20:39.297"	"1"
"11"	"MANDOR PROSES SHIF 1"		true	"2026-01-29 08:57:15.954"	"2026-01-30 09:18:51.782"	"2"
"111"	"KORD. TBS"		true	"2026-01-30 09:30:14.531"	"2026-01-30 09:30:14.531"	"7"
"112"	"KR, PERSONALIA"		true	"2026-01-30 09:30:31.477"	"2026-01-30 09:30:31.477"	"7"
"113"	"KR. TIMBANGAN"		true	"2026-01-30 09:30:47.426"	"2026-01-30 09:30:47.426"	"7"
"114"	"KR. PRODUKSI"		true	"2026-01-30 09:31:03.23"	"2026-01-30 09:31:03.23"	"7"
"12"	"OP. STERILIZER"		true	"2026-01-29 10:11:02.889"	"2026-01-30 08:09:41.933"	"2"
"121"	"KA. WAREHOUSE"		true	"2026-01-30 09:31:34.251"	"2026-01-30 09:32:37.372"	"8"
"122"	"HELPER WAREHOUSE"		true	"2026-01-30 09:32:06.799"	"2026-01-30 09:32:06.799"	"8"
"126"	"OP. EXCAVATOR"		true	"2026-01-30 09:33:09.269"	"2026-01-30 09:33:09.269"	"9"
"127"	"OP. GREDER"		true	"2026-01-30 09:33:27.712"	"2026-01-30 09:33:27.712"	"9"
"128"	"OP. VIBRO"		true	"2026-01-30 09:33:43.663"	"2026-01-30 09:33:43.663"	"9"
"13"	"HELPER STERILIZER"		true	"2026-01-30 07:31:36.384"	"2026-01-30 08:10:24.77"	"2"
"137"	"DANDRU SECURITY"		true	"2026-01-30 09:34:03.235"	"2026-01-30 09:34:03.235"	"10"
"138"	"ANGGOTA SECURITY"		true	"2026-01-30 09:34:19.184"	"2026-01-30 09:34:19.184"	"10"
"14"	"HELPER STERILIZER"		true	"2026-01-30 08:10:46.239"	"2026-01-30 08:10:46.239"	"2"
"151"	"KORDINATOR KEAMANAN"		true	"2026-01-30 09:35:03.799"	"2026-01-30 09:35:03.799"	"12"
