"1"	"A. STAFF"	true	"2026-01-29 07:35:27.888"	"2026-01-30 07:28:22.272"
"10"	"J. SECURITY"	true	"2026-01-29 07:38:17.991"	"2026-01-30 08:42:42.805"
"11"	"K. CIVIL (BHL)"	true	"2026-01-29 07:39:29.372"	"2026-01-30 08:43:34.864"
"12"	"K. KORDINATOR KEAMANAN"	true	"2026-01-29 07:40:53"	"2026-01-30 08:49:17.406"
"2"	"B. PROSES SHIF 1"	true	"2026-01-29 07:23:51.158"	"2026-01-30 07:28:14.528"
"3"	"C. PROSES SHIF 2"	true	"2026-01-30 08:40:34.391"	"2026-01-30 08:40:34.391"
"4"	"D. MAINTENANCE"	true	"2026-01-29 07:24:27.702"	"2026-01-30 08:40:49.057"
"5"	"E. LABORATORIUM"	true	"2026-01-29 07:25:09.51"	"2026-01-30 08:41:01.675"
"6"	"F. SORTASE"	true	"2026-01-29 07:26:42.819"	"2026-01-30 08:41:16.677"
"7"	"G. ADMINITRASI"	true	"2026-01-29 07:36:32.369"	"2026-01-30 08:41:57.406"
"8"	"H. WAREHOUSE"	true	"2026-01-29 07:37:07.61"	"2026-01-30 08:42:17.46"
"9"	"I. GENERAL SERVICE"	true	"2026-01-29 07:37:35.458"	"2026-01-30 08:42:28.283"
